Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_859.jpg;0;1;0;1.287145;100.3924;86.43081;1.235783;48.6677;-0.0007030594
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_926.jpg;0;1;0;1.335306;100.4462;86.49156;1.239629;48.64517;-0.0007740736
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_13_994.jpg;0;1;0;1.397918;100.5209;86.57582;1.243545;48.62244;-0.000881889
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_061.jpg;-3.027723;1;0;1.445145;100.5799;86.64079;1.244475;48.43135;-3.151701E-05
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_128.jpg;-6.095075;1;0;1.509204;100.6419;86.70678;1.248618;47.99706;0.001053914
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_195.jpg;-6.033942;1;0;1.551732;100.7293;86.79592;1.245083;47.10569;0.002514957
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_263.jpg;-3.025229;1;0;1.598661;100.7973;86.86524;1.258447;46.64154;0.001469752
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_330.jpg;0;1;0;1.660324;100.8669;86.93684;1.267324;46.43455;0.0003210173
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_398.jpg;0;1;0;1.707426;100.9621;87.03582;1.271384;46.38273;-0.0009741287
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_465.jpg;0;1;0;1.753207;101.0357;87.11243;1.275502;46.3685;-0.00103124
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_532.jpg;0;1;0;1.814192;101.1111;87.19098;1.278924;46.35671;-0.001048482
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_600.jpg;0;1;0;1.858796;101.2148;87.29874;1.283557;46.34277;-0.001063322
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_667.jpg;0;1;0;1.919906;101.2947;87.38186;1.288855;46.33218;-0.001107224
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_734.jpg;0;1;0;1.965019;101.4043;87.49569;1.295098;46.31647;-0.001117822
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_802.jpg;0;1;0;2.009986;101.4886;87.58328;1.297888;46.30532;-0.001124602
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_868.jpg;0;1;0;2.069611;101.5748;87.67281;1.301893;46.29504;-0.001176483
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_14_937.jpg;0;1;0;2.114235;101.6927;87.79513;1.306209;46.28024;-0.00119095
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_004.jpg;-3.003429;1;0;2.158636;101.784;87.88829;1.3058;46.07032;0.0002571593
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_071.jpg;-6.06291;1;0;2.216576;101.8785;87.98182;1.302011;45.54714;0.001576153
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_139.jpg;-9.086235;1;0;2.25827;102.0107;88.10572;1.295659;44.27811;359.9813
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_206.jpg;-6.064849;1;0;2.300286;102.1134;88.19918;1.289176;43.32182;359.9652
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_273.jpg;-3.02811;1;0;2.359277;102.2536;88.32642;1.284578;42.49239;359.9847
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_341.jpg;-0.01525931;1;0;2.403577;102.3613;88.42432;1.309206;42.2643;-0.001089006
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_408.jpg;0;1;0;2.458909;102.4711;88.52388;1.339964;42.21517;-0.001772652
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_475.jpg;0;1;0;2.502975;102.6201;88.65841;1.331519;42.18595;-0.001348046
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_543.jpg;0;1;0;2.547544;102.7345;88.76125;1.332352;42.17044;-0.001317569
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_610.jpg;0;1;0;2.603746;102.8508;88.86575;1.335221;42.15726;-0.001323388
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_677.jpg;0;1;0;2.646323;103.0089;89.00771;1.341842;42.14103;-0.001338604
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_745.jpg;0;1;0;2.688779;103.1297;89.11614;1.34734;42.1291;-0.001368444
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_812.jpg;0;1;0;2.745205;103.2524;89.22623;1.352012;42.11735;-0.001393106
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_880.jpg;0;1;0;2.78738;103.419;89.37558;1.355731;42.10179;-0.001408747
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_15_946.jpg;0;1;0;2.843394;103.5462;89.48949;1.356441;42.08999;-0.001418996
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_015.jpg;0;1;0;2.885224;103.7187;89.64398;1.359388;42.07489;-0.0009776326
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_082.jpg;0;1;0;2.926606;103.8503;89.76179;1.365867;42.05972;-0.001455404
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_148.jpg;0;1;0;2.982023;103.9838;89.88118;1.368514;42.0469;-0.001471045
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_216.jpg;0;1;0;3.023423;104.1646;90.04289;1.370606;42.03136;-0.001025889
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_284.jpg;0;1;0;3.064365;104.3025;90.16606;1.374614;42.01583;-0.001491385
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_351.jpg;0;1;0;3.119173;104.4421;90.2908;1.374031;42.00251;-0.001491171
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_418.jpg;0;1;0;3.1598;104.6313;90.45968;1.380254;41.9832;-0.001503772
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_486.jpg;0;1;0;3.200614;104.7754;90.5882;1.385512;41.96893;-0.001414529
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_554.jpg;0;1;0;3.254531;104.9702;90.76195;1.385903;41.94934;-0.001546263
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_621.jpg;0;1;0;3.295465;105.1185;90.89413;1.389806;41.93429;-0.001537938
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_687.jpg;-1.503285;1;0;3.34895;105.2688;91.02776;1.393624;41.89179;-0.001367723
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_756.jpg;-4.52493;1;0;3.387361;105.4737;91.20621;1.393005;41.37484;0.0003385679
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_823.jpg;-4.598958;1;0;3.42752;105.6311;91.33973;1.385553;40.68431;0.001118504
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_889.jpg;-1.575077;1;0;3.480042;105.7911;91.47417;1.389027;40.14022;-0.0006294161
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_16_957.jpg;0;1;0;3.518706;106.0072;91.65601;1.405556;39.90155;-0.002542502
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_025.jpg;0;1;0;3.557547;106.1717;91.79372;1.411426;39.85337;-0.002456572
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_092.jpg;0;1;0;3.610984;106.3383;91.93259;1.41731;39.83335;-0.002163697
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_159.jpg;0;1;0;3.649318;106.5634;92.11964;1.419774;39.81738;-0.002545987
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_227.jpg;0;1;0;3.701286;106.7345;92.26156;1.42381;39.80962;-0.001782856
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_295.jpg;0;1;0;3.740019;106.9655;92.45281;1.426104;39.79145;-0.001793053
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_362.jpg;0;1;0;3.779024;107.141;92.59782;1.429366;39.77437;-0.00175804
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_428.jpg;-3.02497;1;0;3.829695;107.319;92.7436;1.433656;39.60828;-0.0005837904
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_498.jpg;-6.071464;1;0;3.867843;107.561;92.93708;1.423471;38.83889;0.0007887567
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_564.jpg;-3.030808;1;0;3.905507;107.746;93.08224;1.419871;38.19425;-0.0007238488
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_631.jpg;-0.01043815;1;0;3.955852;107.9331;93.22857;1.424537;37.82661;-0.002808129
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_698.jpg;0;1;0;3.993358;108.1857;93.42562;1.436701;37.68732;-0.003931476
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_765.jpg;0;1;0;4.030351;108.3775;93.57457;1.445089;37.66244;-0.00383445
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_833.jpg;0;1;0;4.080256;108.6365;93.77475;1.457084;37.64442;-0.003478811
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_900.jpg;-1.514702;1;0;4.117776;108.8333;93.92587;1.462252;37.57565;-0.002637472
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_17_967.jpg;-4.561251;1;0;4.167832;109.0326;94.0768;1.454056;37.25565;-0.001355428
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_035.jpg;-7.588624;1;0;4.20327;109.3038;94.27605;1.43147;36.24157;-0.002226483
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_103.jpg;-7.568357;1;0;4.238496;109.5118;94.42246;1.388441;35.13854;359.9466
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_169.jpg;-4.540782;1;0;4.286757;109.7229;94.56741;1.31491;34.14185;359.8779
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_235.jpg;-1.457986;1;0;4.324578;110.0082;94.76006;1.185573;33.33532;359.7982
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_304.jpg;0;1;0;4.361293;110.2252;94.90503;1.098036;33.12727;359.7481
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_371.jpg;0;1;0;4.409442;110.445;95.05072;1.041816;33.07917;359.6983
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_439.jpg;0;1;0;4.445142;110.7413;95.24681;0.9944453;33.09557;359.6729
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_506.jpg;0;1;0;4.492376;110.9662;95.39535;0.9906783;33.12293;359.6737
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_574.jpg;0;1;0;4.527483;111.2695;95.59559;1.027433;33.16768;359.7009
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_641.jpg;0;1;0;4.562466;111.4993;95.74747;1.081847;33.20428;359.7402
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_708.jpg;0;1;0;4.608924;111.7311;95.9008;1.155088;33.24313;359.7937
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_777.jpg;0;1;0;4.643639;112.043;96.10751;1.275379;33.29871;359.8831
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_18_843.jpg;0;1;0;4.678296;112.279;96.26432;1.379355;33.34341;359.9678
